Feature,RF_selfreq,Univ_selfreq,PLS_selfreq,mean_freq
206.56,0.0,0.0,0.0,0.0
206.34,0.0,0.0,0.0,0.0
206.07,0.0,0.0,0.0,0.0
206.02,0.0,0.0,0.0,0.0
205.04,0.0,0.0,0.0,0.0
203.06,0.0,0.0,0.0,0.0
211.33,0.0,0.0,0.0,0.0
87.03,0.0,0.0,0.0,0.0
86.83,0.0,0.0,0.0,0.0
86.24,0.0,0.0,0.0,0.0
86.1,0.0,0.0,1.0,0.0
85.65,0.0,0.0,0.0,0.0
85.11,0.0,0.0,0.0,0.0
85.03,0.0,0.0,0.0,0.0
84.64,0.0,0.0,0.0,0.0
142.04,0.0,0.0,0.0,0.0
83.61,0.0,0.0,0.0,0.0
83.11,0.0,0.0,0.0,0.0
82.62,0.0,0.0,0.0,0.0
82.07,0.0,0.0,0.0,0.0
81.58,0.0,0.0,0.0,0.0
81.11,0.0,0.0,0.0,0.0
81.02,0.0,0.0,1.0,0.0
80.55,0.0,0.0,0.0,0.0
84.07,0.0,0.0,0.0,0.0
97.09,0.0,0.0,0.0,0.0
96.92,0.0,0.0,0.0,0.0
96.09,0.0,0.0,0.0,0.0
95.09,0.0,0.0,0.0,0.0
94.98,0.0,0.0,0.0,0.0
94.08,0.0,0.0,0.0,0.0
94.06,0.0,0.0,0.0,0.0
93.07,0.0,0.0,0.0,0.0
88.03,0.0,0.0,0.0,0.0
92.06,0.0,0.0,0.0,0.0
91.82,0.0,0.0,0.0,0.0
91.04,0.0,0.0,0.0,0.0
89.96,0.0,0.0,0.0,0.0
89.8,0.0,0.0,0.0,0.0
89.04,0.0,0.0,0.0,0.0
88.6,0.0,0.0,0.0,0.0
88.12,0.0,0.0,0.0,0.0
92.93,0.0,0.0,0.0,0.0
243.44,0.0,0.0,0.0,0.0
243.03,0.0,0.0,0.0,0.0
240.52,0.0,0.0,0.0,0.0
239.51,0.0,0.0,0.0,0.0
239.24,0.0,0.0,0.0,0.0
237.48,0.0,0.0,0.0,0.0
237.22,0.0,0.0,0.0,0.0
234.78,0.0,0.0,0.0,0.0
79.48,0.0,0.0,0.0,0.0
232.69,0.0,0.0,0.0,0.0
232.48,0.0,0.0,0.0,0.0
232.24,0.0,0.0,0.0,0.0
244.78,0.0,0.0,0.0,0.0
57.03,0.0,0.0,1.0,0.0
56.04,0.0,0.0,0.0,0.0
50.01,0.0,0.0,0.0,0.0
249.96,0.0,0.0,0.0,0.0
233.72,0.0,0.0,0.0,0.0
78.48,0.0,0.0,0.0,0.0
77.45,0.0,0.0,0.0,0.0
77.03,0.0,0.0,0.0,0.0
76.42,0.0,0.0,0.0,0.0
76.03,0.0,0.0,0.0,0.0
75.42,0.0,0.0,0.0,0.0
75.02,0.0,0.0,0.0,0.0
74.4,0.0,0.0,0.0,0.0
244.01,0.0,0.0,0.0,0.0
73.05,0.0,0.0,0.0,0.0
72.35,0.0,0.0,0.0,0.0
72.03,0.0,0.0,0.0,0.0
71.37,0.0,0.0,0.0,0.0
71.05,0.0,0.0,0.0,0.0
70.33,0.0,0.0,0.0,0.0
70.06,0.0,0.0,0.0,0.0
232.07,0.0,0.0,0.0,0.0
244.44,0.0,0.0,0.0,0.0
73.38,0.0,0.0,0.0,0.0
132.91,0.0,0.0,0.0,0.0
132.08,0.0,0.0,0.0,0.0
130.89,0.0,0.0,0.0,0.0
129.89,0.0,0.0,0.0,0.0
129.05,0.0,0.0,0.0,0.0
128.93,0.0,0.0,0.0,0.0
127.03,0.0,0.0,0.0,0.0
125.93,0.0,0.0,0.0,0.0
98.07,0.0,0.0,0.0,0.0
124.9,0.0,0.0,0.0,0.0
123.12,0.0,0.0,0.0,0.0
122.92,0.0,0.0,0.0,0.0
122.64,0.0,0.0,0.0,0.0
122.11,0.0,0.0,0.0,0.0
121.92,0.0,0.0,0.0,0.0
121.6,0.0,0.0,0.0,0.0
121.39,0.0,0.0,0.0,0.0
124.97,0.0,0.0,0.974,0.0
147.99,0.0,0.0,0.0,0.0
147.15,0.0,0.0,0.0,0.0
147.04,0.0,0.0,0.0,0.0
146.11,0.0,0.0,0.0,0.0
145.95,0.0,0.0,0.0,0.0
145.13,0.0,0.0,0.0,0.0
144.08,0.0,0.0,0.0,0.0
142.93,0.0,0.0,0.0,0.0
133.73,0.0,0.0,0.0,0.0
140.9,0.0,0.0,0.0,0.0
138.9,0.0,0.0,0.0,0.0
137.14,0.0,0.0,0.0,0.0
136.92,0.0,0.0,0.0,0.0
135.92,0.0,0.0,0.0,0.0
135.08,0.0,0.0,0.0,0.0
134.78,0.0,0.0,0.0,0.0
134.1,0.0,0.0,0.0,0.0
59.06,0.0,0.0,0.0,0.0
110.08,0.0,0.0,0.0,0.0
109.1,0.0,0.0,0.0,0.0
108.09,0.0,0.0,0.0,0.0
107.22,0.0,0.0,0.0,0.0
107.07,0.0,0.0,0.0,0.0
106.18,0.0,0.0,0.0,0.0
