Feature,RF_freq,Univ_freq,PLS_freq,detect_rate
228.2,0.0,0.0,0.0,0.0
226.07,0.0,0.0,0.0,0.01
181.09,0.0,0.0,0.0,0.005
224.3,0.0,0.0,0.0,0.021
224.1,0.0,0.0,0.0,0.646
222.03,0.0,0.0,0.0,0.083
215.06,0.0,0.0,0.0,0.005
214.83,0.0,0.0,0.0,0.135
213.56,0.0,0.0,0.0,0.0
212.83,0.0,0.0,0.0,0.24
211.59,0.0,0.0,0.0,0.0
225.43,0.0,0.0,0.0,0.005
247.45,0.0,0.0,0.0,0.0
247.17,0.0,0.0,0.0,0.0
246.94,0.0,0.0,0.0,0.0
246.72,0.0,0.0,0.0,0.0
246.44,0.0,0.0,0.0,0.0
246.13,0.0,0.0,0.0,0.0
247.74,0.0,0.0,0.0,0.0
246.04,0.0,0.0,0.0,0.0
230.0,0.0,0.0,0.0,0.0
58.06,0.0,0.0,0.447,1.0
231.66,0.0,0.0,0.0,0.0
231.46,0.0,0.0,0.0,0.0
231.22,0.0,0.0,0.0,0.0
231.04,0.0,0.0,0.0,0.0
247.94,0.0,0.0,0.0,0.0
230.54,0.0,0.0,0.0,0.0
248.17,0.0,0.0,0.0,0.0
245.44,0.0,0.0,0.0,0.0
191.06,0.0,0.0,0.0,0.016
190.82,0.0,0.0,0.0,0.0
147.15,0.0,0.0,0.0,0.0
190.26,0.0,0.0,0.0,0.0
190.09,0.0,0.0,0.0,0.0
189.86,0.0,0.0,0.0,0.0
189.04,0.0,0.0,0.0,0.062
211.33,0.0,0.0,0.0,0.016
187.85,0.0,0.0,0.0,0.0
186.86,0.0,0.0,0.0,0.0
185.93,0.0,0.0,0.0,0.0
185.05,0.0,0.0,0.0,0.0
184.23,0.0,0.0,0.0,0.0
184.1,0.0,0.0,0.0,0.005
182.93,0.0,0.0,0.0,0.031
182.0,0.0,0.0,0.0,0.005
188.82,0.0,0.0,0.0,0.0
209.59,0.0,0.0,0.0,0.0
209.37,0.0,0.0,0.0,0.0
207.01,0.0,0.0,0.0,0.01
206.56,0.0,0.0,0.0,0.0
206.34,0.0,0.0,0.0,0.0
206.07,0.0,0.0,0.0,0.0
206.02,0.0,0.0,0.0,0.021
205.04,0.0,0.0,0.0,0.005
192.8,0.0,0.0,0.0,0.0
202.86,0.0,0.0,0.0,0.0
202.05,0.0,0.0,0.0,0.026
200.84,0.0,0.0,0.0,0.0
199.76,0.0,0.0,0.0,0.0
198.85,0.0,0.0,0.0,0.125
197.79,0.0,0.0,0.0,0.0
196.85,0.0,0.0,0.0,0.505
195.81,0.0,0.0,0.0,0.0
203.06,0.0,0.0,0.0,0.005
87.03,0.0,0.0,0.0,0.932
86.83,0.0,0.0,0.0,0.0
86.24,0.0,0.0,0.0,0.0
86.1,0.0,0.0,0.868,0.958
85.65,0.0,0.0,0.0,0.0
85.11,0.0,0.0,0.0,0.312
85.03,0.0,0.0,0.0,0.24
84.64,0.0,0.0,0.0,0.0
142.04,0.0,0.0,0.0,0.427
83.61,0.0,0.0,0.0,0.0
83.11,0.0,0.0,0.0,0.0
83.04,0.0,0.0,1.0,0.938
82.62,0.0,0.0,0.0,0.0
82.07,0.0,0.0,0.0,0.953
81.58,0.0,0.0,0.0,0.0
81.11,0.0,0.0,0.0,0.0
80.55,0.0,0.0,0.0,0.0
84.07,0.0,0.0,0.0,0.943
97.09,0.0,0.0,0.0,0.88
96.92,0.0,0.0,0.0,0.99
96.09,0.0,0.0,0.0,0.927
95.09,0.0,0.0,0.079,0.708
94.98,0.0,0.0,0.0,0.641
94.08,0.0,0.0,0.0,0.188
94.06,0.0,0.0,0.0,0.75
93.07,0.0,0.0,0.0,0.964
88.03,0.0,0.0,0.0,0.99
92.06,0.0,0.0,0.0,0.969
91.82,0.0,0.0,0.0,0.0
91.04,0.0,0.0,0.0,0.969
89.96,0.0,0.0,0.0,0.344
89.8,0.0,0.0,0.0,0.0
89.04,0.0,0.0,0.0,0.938
88.6,0.0,0.0,0.0,0.0
88.12,0.0,0.0,0.0,0.0
92.93,0.0,0.0,0.0,0.0
243.44,0.0,0.0,0.0,0.0
243.03,0.0,0.0,0.0,0.0
240.52,0.0,0.0,0.0,0.016
239.51,0.0,0.0,0.0,0.031
239.24,0.0,0.0,0.0,0.208
237.48,0.0,0.0,0.0,0.031
237.22,0.0,0.0,0.0,0.047
234.78,0.0,0.0,0.0,0.0
79.48,0.0,0.0,0.0,0.0
232.69,0.0,0.0,0.0,0.0
232.48,0.0,0.0,0.0,0.0
232.24,0.0,0.0,0.0,0.0
244.78,0.0,0.0,0.0,0.0
57.03,0.0,0.0,1.0,1.0
56.04,0.0,0.0,0.0,1.0
50.01,0.0,0.0,0.0,0.818
249.96,0.0,0.0,0.0,0.0
233.72,0.0,0.0,0.0,0.0
78.48,0.0,0.0,0.0,0.0
77.45,0.0,0.0,0.0,0.0
77.03,0.0,0.0,0.0,0.969
76.42,0.0,0.0,0.0,0.0
76.03,0.0,0.0,0.0,0.297
75.42,0.0,0.0,0.0,0.0
75.02,0.0,0.0,0.0,0.568
74.4,0.0,0.0,0.0,0.0
244.01,0.0,0.0,0.0,0.0
73.05,0.0,0.0,0.0,0.755
72.35,0.0,0.0,0.0,0.0
72.03,0.0,0.0,0.0,1.0
71.37,0.0,0.0,0.0,0.0
71.05,0.0,0.0,0.0,0.88
70.33,0.0,0.0,0.0,0.0
70.06,0.0,0.0,0.0,0.995
232.07,0.0,0.0,0.0,0.0
244.44,0.0,0.0,0.0,0.0
73.38,0.0,0.0,0.0,0.0
130.06,0.0,0.026,0.0,0.474
129.89,0.0,0.0,0.0,0.01
129.05,0.0,0.0,0.0,0.932
128.93,0.0,0.0,0.0,0.0
128.05,0.0,0.0,0.0,0.938
127.03,0.0,0.0,0.0,0.917
125.93,0.0,0.0,0.0,0.177
124.97,0.0,0.0,0.947,0.953
98.95,0.0,0.0,0.0,0.948
123.12,0.0,0.0,0.0,0.427
122.92,0.0,0.0,0.0,0.146
122.64,0.0,0.0,0.0,0.0
122.11,0.0,0.0,0.0,0.016
121.92,0.0,0.0,0.0,0.354
121.6,0.0,0.0,0.0,0.0
121.39,0.0,0.0,0.0,0.0
121.1,0.0,0.0,0.0,0.76
124.9,0.0,0.0,0.0,0.224
147.04,0.0,0.0,0.0,0.161
146.11,0.0,0.0,0.0,0.052
145.95,0.0,0.0,0.0,0.01
145.13,0.0,0.0,0.0,0.0
144.08,0.0,0.0,0.0,0.141
142.93,0.0,0.0,0.0,0.792
59.06,0.0,0.0,0.0,0.995
140.9,0.0,0.0,0.0,0.938
130.89,0.0,0.0,0.0,0.005
137.14,0.0,0.0,0.0,0.0
136.92,0.0,0.0,0.0,0.078
135.92,0.0,0.0,0.0,0.057
135.08,0.0,0.0,0.0,0.24
134.78,0.0,0.0,0.0,0.0
134.1,0.0,0.0,0.0,0.031
133.73,0.0,0.0,0.0,0.0
132.91,0.0,0.0,0.0,0.089
132.08,0.0,0.0,0.0,0.203
138.9,0.0,0.0,0.0,0.036
110.08,0.0,0.0,0.0,0.469
109.1,0.0,0.0,0.0,0.927
108.94,0.0,0.026,0.0,0.87
108.09,0.0,0.0,0.0,0.547
107.22,0.0,0.0,0.0,0.0
107.07,0.0,0.0,0.0,0.927
106.18,0.0,0.0,0.0,0.0
106.02,0.0,0.0,0.0,0.969
