Tissue,training_representation,Model,min_det,AUC,raw_permutation_p,permutations,analysis_role
Liver,animal-mean,RandomForest,0.3,0.375,0.8782,500.0,exploratory sensitivity analysis
Liver,spot,PLS-DA,0.0,0.542,0.9082,500.0,exploratory sensitivity analysis
Liver,spot,PLS-DA,0.1,0.562,0.8244,500.0,exploratory sensitivity analysis
Liver,spot,PLS-DA,0.2,0.542,0.8164,500.0,exploratory sensitivity analysis
Liver,spot,PLS-DA,0.3,0.562,0.8164,500.0,exploratory sensitivity analysis
Liver,spot,RandomForest,0.0,0.417,0.9022,500.0,exploratory sensitivity analysis
Liver,spot,RandomForest,0.1,0.417,0.8623,500.0,exploratory sensitivity analysis
Liver,spot,RandomForest,0.2,0.417,0.8842,500.0,exploratory sensitivity analysis
Liver,spot,RandomForest,0.3,0.375,0.8523,500.0,exploratory sensitivity analysis
Mammary tissue,animal-mean,PLS-DA,0.0,0.992,0.002,,exploratory sensitivity analysis
Mammary tissue,animal-mean,PLS-DA,0.1,0.989,0.002,,exploratory sensitivity analysis
Mammary tissue,animal-mean,PLS-DA,0.2,0.989,0.002,,exploratory sensitivity analysis
Mammary tissue,animal-mean,PLS-DA,0.3,0.989,0.002,,exploratory sensitivity analysis
Mammary tissue,animal-mean,RandomForest,0.0,0.996,0.002,,exploratory sensitivity analysis
Mammary tissue,animal-mean,RandomForest,0.1,0.992,0.002,,exploratory sensitivity analysis
Mammary tissue,animal-mean,RandomForest,0.2,0.992,0.002,,exploratory sensitivity analysis
Mammary tissue,animal-mean,RandomForest,0.3,0.992,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,PLS-DA,0.0,1.0,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,PLS-DA,0.1,1.0,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,PLS-DA,0.2,0.997,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,PLS-DA,0.3,0.997,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,RandomForest,0.0,0.997,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,RandomForest,0.1,0.994,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,RandomForest,0.2,0.997,0.002,,exploratory sensitivity analysis
Mammary tissue,spot,RandomForest,0.3,0.997,0.002,,exploratory sensitivity analysis
Serum,animal-mean,PLS-DA,0.0,0.547,0.8383,500.0,exploratory sensitivity analysis
Serum,animal-mean,PLS-DA,0.1,0.547,0.8483,500.0,exploratory sensitivity analysis
Serum,animal-mean,PLS-DA,0.2,0.547,0.8503,500.0,exploratory sensitivity analysis
Serum,animal-mean,PLS-DA,0.3,0.562,0.8164,500.0,exploratory sensitivity analysis
Serum,animal-mean,RandomForest,0.0,0.328,0.6567,500.0,exploratory sensitivity analysis
Serum,animal-mean,RandomForest,0.1,0.375,0.7545,500.0,exploratory sensitivity analysis
Serum,animal-mean,RandomForest,0.2,0.344,0.6647,500.0,exploratory sensitivity analysis
Serum,animal-mean,RandomForest,0.3,0.344,0.7106,500.0,exploratory sensitivity analysis
Serum,spot,PLS-DA,0.0,0.5,1.0,500.0,exploratory sensitivity analysis
Serum,spot,PLS-DA,0.1,0.531,0.984,500.0,exploratory sensitivity analysis
Serum,spot,PLS-DA,0.2,0.406,0.8204,500.0,exploratory sensitivity analysis
Serum,spot,PLS-DA,0.3,0.469,0.9421,500.0,exploratory sensitivity analysis
Serum,spot,RandomForest,0.0,0.281,0.5808,500.0,exploratory sensitivity analysis
Serum,spot,RandomForest,0.1,0.281,0.5828,500.0,exploratory sensitivity analysis
Serum,spot,RandomForest,0.2,0.312,0.5988,500.0,exploratory sensitivity analysis
Serum,spot,RandomForest,0.3,0.281,0.5589,500.0,exploratory sensitivity analysis
