Tissue,training_representation,held_out_animal,min_det,features_retained
Fur,spot,Ca_6b,0.2,69
Fur,spot,Ca_6b,0.3,38
Fur,spot,Ca_7b,0.0,313
Fur,spot,Ca_7b,0.1,100
Fur,spot,Ca_7b,0.2,70
Fur,spot,Ca_7b,0.3,40
Fur,spot,Ca_8b,0.0,313
Fur,spot,Ca_8b,0.1,104
Fur,spot,Ca_8b,0.2,74
Fur,spot,Ca_8b,0.3,42
Fur,spot,Ca_9b,0.0,313
Fur,spot,Ca_9b,0.1,102
Fur,spot,Ca_9b,0.2,62
Fur,spot,Ca_9b,0.3,42
Fur,spot,Co_10b,0.0,313
Fur,spot,Co_10b,0.1,102
Fur,spot,Co_10b,0.2,57
Fur,spot,Co_10b,0.3,42
Fur,spot,Co_1b,0.0,313
Fur,spot,Co_1b,0.1,106
Fur,spot,Co_1b,0.2,76
Fur,spot,Co_1b,0.3,42
Fur,spot,Co_2b,0.0,313
Fur,spot,Co_2b,0.1,106
Fur,spot,Co_2b,0.2,76
Fur,spot,Co_2b,0.3,40
Fur,spot,Co_3b,0.0,313
Fur,spot,Co_3b,0.1,106
Fur,spot,Co_3b,0.2,76
Fur,spot,Co_3b,0.3,43
Fur,spot,Co_4b,0.0,313
Fur,spot,Co_4b,0.1,104
Fur,spot,Co_4b,0.2,74
Fur,spot,Co_4b,0.3,42
Fur,spot,Co_5b,0.0,313
Fur,spot,Co_5b,0.1,106
Fur,spot,Co_5b,0.2,75
Fur,spot,Co_5b,0.3,43
Fur,spot,Co_6b,0.0,313
Fur,spot,Co_6b,0.1,105
Fur,spot,Co_6b,0.2,73
Fur,spot,Co_6b,0.3,40
Fur,spot,Co_7b,0.0,313
Fur,spot,Co_7b,0.1,104
Fur,spot,Co_7b,0.2,75
Fur,spot,Co_7b,0.3,39
Fur,spot,Co_8b,0.0,313
Fur,spot,Co_8b,0.1,103
Fur,spot,Co_8b,0.2,74
Fur,spot,Co_8b,0.3,42
