Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Liver,120.57,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,120.96,6,4,0.03258482805865708,0.012481253428881275,0.028365109547541994,0.33333333333333326,0.47619047619047616,1.0,0.6666666666666666,0.5,0.16666666666666663,False,False
Liver,121.1,6,4,0.1620111835552352,0.21861363043576154,-0.06861682863620097,-0.5,0.2571428571428571,1.0,1.0,1.0,0.0,False,False
Liver,121.39,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,121.6,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,121.92,6,4,0.08228261020016697,0.0692065434438245,0.01753669909418818,0.08333333333333326,0.9142857142857143,1.0,0.8333333333333334,1.0,0.16666666666666663,False,False
Liver,122.11,6,4,0.0,0.029081967691392395,-0.04135789930885314,-0.5,0.2571428571428571,1.0,0.0,0.5,0.5,False,True
Liver,122.64,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,122.92,6,4,0.08512769145533526,0.0605708962715322,0.03302375622043222,0.16666666666666674,0.7619047619047619,1.0,1.0,1.0,0.0,False,False
Liver,123.12,6,4,0.021184364846116684,0.09638470132177511,-0.10251074820514203,-0.625,0.17142857142857143,1.0,0.5,0.75,0.25,False,False
Liver,124.9,6,4,0.19635170105219593,0.12297669427099983,0.09131358542171138,0.6666666666666667,0.11428571428571428,1.0,1.0,1.0,0.0,False,False
Liver,124.97,6,4,0.39131523723890665,0.45835030166695595,-0.06788796696701724,-0.33333333333333337,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
Liver,125.93,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,127.03,6,4,0.12819708619846487,0.12637062137901148,0.002337505593623378,0.08333333333333326,0.9142857142857143,1.0,1.0,1.0,0.0,False,False
Liver,128.05,6,4,0.36362935126975465,0.37743211785187497,-0.01452966410064507,-0.33333333333333337,0.47619047619047616,1.0,1.0,1.0,0.0,False,False
Liver,128.93,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,129.05,6,4,0.30566060615095786,0.3324216012186023,-0.029270717294707906,-0.41666666666666663,0.35238095238095235,1.0,1.0,1.0,0.0,False,False
Liver,129.89,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Liver,130.06,6,4,0.1669480739312714,0.1710595426336468,-0.005074065268267248,0.0,1.0,1.0,1.0,1.0,0.0,False,False
Liver,130.89,6,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
