Tissue,Feature,n_cancer_animals,n_control_animals,cancer_mean,control_mean,log2_fc_plus1_cancer_control,rank_biserial_cancer_control,p_mwu,FDR_BH,cancer_detection_frequency,control_detection_frequency,absolute_detection_frequency_difference,FDR_significant,detection_difference_gt_0_30
Fur,88.6,10,10,0.0,0.0023304065349611302,-0.0033581545366240437,-0.09999999999999998,0.7393643508194593,1.0,0.0,0.1,0.1,False,False
Fur,89.04,10,10,0.009248525744730257,0.0,0.013281479409634306,0.5,0.06301283855463422,1.0,0.5,0.0,0.5,False,True
Fur,89.8,10,10,0.0028060641088157234,0.0,0.004042625489978019,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,89.96,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,91.04,10,10,0.5690973266012234,0.5002453058418775,0.06473642553288646,0.040000000000000036,0.9117971811470265,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,91.82,10,10,0.22861629017952603,0.10281556809141046,0.15584287851860848,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,92.06,10,10,0.08397245893283063,0.07777284098819355,0.008274964294479287,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,92.93,10,10,0.03350113213970841,0.014778003950491284,0.026375815760155612,0.3999999999999999,0.143140141592154,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,93.07,10,10,0.20035749328524335,0.20949643798920273,-0.010942383883971594,-0.020000000000000018,0.9705124596765464,1.0,0.7,0.8,0.10000000000000009,False,False
Fur,94.06,10,10,0.09079862180266426,0.05159788469881262,0.05280163748320554,0.22999999999999998,0.43587217735824557,1.0,0.5,0.3,0.2,False,False
Fur,94.08,10,10,0.03787594246147268,0.024768431390247724,0.018336069961608484,0.24,0.39304812834224606,1.0,0.6,0.5,0.09999999999999998,False,False
Fur,94.98,10,10,0.06388868674526939,0.03306635182814603,0.04241429282151212,0.28,0.31499924224382436,1.0,0.6,0.3,0.3,False,False
Fur,95.09,10,10,0.39111468211974676,0.31762048176503666,0.07830647279738476,0.1399999999999999,0.6305289138106477,1.0,0.7,0.6,0.09999999999999998,False,False
Fur,96.09,10,10,0.16799177051613864,0.08196438383472357,0.11037710002566894,0.26,0.35268137435320107,1.0,0.6,0.4,0.19999999999999996,False,False
Fur,96.92,10,10,0.009586068989808376,0.0034227350079766563,0.008834376817767848,0.1200000000000001,0.6842105263157896,1.0,0.2,0.1,0.1,False,False
Fur,97.09,10,10,0.032059013697710206,0.0,0.04552546720965923,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,98.07,10,10,0.042027550642662774,0.010040522882876567,0.044980247049451035,0.32000000000000006,0.24745069172313758,1.0,0.6,0.3,0.3,False,False
Fur,98.95,10,10,0.006379060357506126,0.0,0.009173809610577774,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,99.08,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,100.11,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,100.91,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,102.07,10,10,0.0010331550553339933,0.0,0.0014897582316223126,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,103.0,10,10,0.07547154487759483,0.053392180118990704,0.029926699278577343,0.41999999999999993,0.1230054774946416,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,103.98,10,10,0.022118263207631682,0.05498221639147473,-0.04565654836589725,-0.32999999999999996,0.24745069172313758,1.0,0.5,0.7,0.19999999999999996,False,False
Fur,104.11,10,10,0.03073411049565099,0.01421617813266042,0.02330702856411564,0.3799999999999999,0.16549394877568255,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,105.06,10,10,0.21849685407441255,0.19992253908076507,0.02216125054576364,0.06000000000000005,0.8534283054406895,1.0,0.8,1.0,0.19999999999999996,False,False
Fur,105.14,10,10,0.00315566305682764,0.0,0.004545491189630242,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,106.02,10,10,0.029830960745870088,0.005638148780535603,0.03429626455636609,0.4099999999999999,0.143140141592154,1.0,0.5,0.1,0.4,False,True
Fur,106.18,10,10,0.09107702919373897,0.038779333174950914,0.07086374184446698,0.32000000000000006,0.24745069172313758,1.0,0.5,0.2,0.3,False,False
Fur,107.07,10,10,0.08911695541590847,0.06655768976065228,0.03019688426705769,0.050000000000000044,0.9117971811470265,1.0,0.5,0.5,0.0,False,False
Fur,107.22,10,10,0.012976612622477738,0.002360812729491543,0.015198947154119919,0.30000000000000004,0.27986100586719787,1.0,0.4,0.1,0.30000000000000004,False,True
Fur,108.09,10,10,0.035734603093987564,0.0074300701770666664,0.03997467493216427,0.32000000000000006,0.24745069172313758,1.0,0.4,0.1,0.30000000000000004,False,True
Fur,108.94,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,109.1,10,10,0.07839764704908855,0.006201088618133026,0.09997059822429086,0.32000000000000006,0.24745069172313758,1.0,0.4,0.1,0.30000000000000004,False,True
Fur,110.08,10,10,0.0021204809752687933,0.0,0.003055968469688287,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,110.33,10,10,0.014289360415901823,0.0,0.020469288716250356,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,111.02,10,10,0.00822441201613917,0.0015228922484195333,0.009621393842518327,0.32000000000000006,0.24745069172313758,1.0,0.4,0.1,0.30000000000000004,False,True
Fur,112.09,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,112.24,10,10,0.003636500607078273,0.0,0.005236845257137041,0.19999999999999996,0.48125094719521977,1.0,0.2,0.0,0.2,False,False
Fur,112.89,10,10,1.3816464271700277,1.3306037874098424,0.03125548947038662,0.030000000000000027,0.9705124596765464,1.0,0.9,0.9,0.0,False,False
Fur,113.09,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False
Fur,114.21,10,10,0.5758568903891483,0.33491175883003765,0.23939214493370398,0.32000000000000006,0.24745069172313758,1.0,0.6,0.3,0.3,False,False
Fur,114.9,10,10,18.644706183681798,15.162539852041624,0.28148666297067365,0.17999999999999994,0.5288488601182101,1.0,1.0,0.9,0.09999999999999998,False,False
Fur,115.05,10,10,0.0020387999132529433,0.0,0.002938372164550429,0.10000000000000009,0.7393643508194593,1.0,0.1,0.0,0.1,False,False
Fur,116.04,10,10,0.04907057397988532,0.03527698480103339,0.01909492793304987,0.24,0.39304812834224606,1.0,0.8,0.8,0.0,False,False
Fur,116.3,10,10,4.697971133158742,3.396702285536583,0.374026466290119,0.3600000000000001,0.19031587607439004,1.0,0.6,0.2,0.39999999999999997,False,True
Fur,116.99,10,10,0.03470173910917584,0.019840503508778203,0.020871417873125173,0.30000000000000004,0.27986100586719787,1.0,0.6,0.4,0.19999999999999996,False,False
